0 2 2 0 0
1 3 5 1 1
2 5 10 1 2
3 7 17 2 4
4 11 28 3 7
5 13 41 5 12
6 17 58 8 20
7 19 77 13 33
8 23 100 21 54
9 29 129 34 88
10 31 160 55 143
11 37 197 89 232
12 41 238 144 376
13 43 281 233 609
14 47 328 377 986
15 53 381 610 1596
16 59 440 987 2583
17 61 501 1597 4180
18 67 568 2584 6764
19 71 639 4181 10945
20 73 712 6765 17710
21 79 791 10946 28656
22 83 874 17711 46367
23 89 963 28657 75024
24 97 1060 46368 121392
25 101 1161 75025 196417
26 103 1264 121393 317810
27 107 1371 196418 514228
28 109 1480 317811 832039
29 113 1593 514229 1346268
30 127 1720 832040 2178308
31 131 1851 1346269 3524577
32 137 1988 2178309 5702886
33 139 2127 3524578 9227464
34 149 2276 5702887 14930351
35 151 2427 9227465 24157816
36 157 2584 14930352 39088168
37 163 2747 24157817 63245985
38 167 2914 39088169 102334154
39 173 3087 63245986 165580140
40 179 3266 102334155 267914295
41 181 3447 165580141 433494436
42 191 3638 267914296 701408732
43 193 3831 433494437 1134903169
44 197 4028 701408733 1836311902
45 199 4227 1134903170 2971215072
46 211 4438 1836311903 4807526975
47 223 4661 2971215073 7778742048
48 227 4888 4807526976 12586269024
49 229 5117 7778742049 20365011073
50 233 5350 12586269025 32951280098
51 239 5589 20365011074 53316291172
52 241 5830 32951280099 86267571271
53 251 6081 53316291173 139583862444
54 257 6338 86267571272 225851433716
55 263 6601 139583862445 365435296161
56 269 6870 225851433717 591286729878
57 271 7141 365435296162 956722026040
58 277 7418 591286729879 1548008755919
59 281 7699 956722026041 2504730781960
60 283 7982 1548008755920 4052739537880
61 293 8275 2504730781961 6557470319841
62 307 8582 4052739537881 10610209857722
63 311 8893 6557470319842 17167680177564
64 313 9206 10610209857723 27777890035287
65 317 9523 17167680177565 44945570212852
66 331 9854 27777890035288 72723460248140
67 337 10191 44945570212853 117669030460993
68 347 10538 72723460248141 190392490709134
69 349 10887 117669030460994 308061521170128
70 353 11240 190392490709135 498454011879263
71 359 11599 308061521170129 806515533049392
72 367 11966 498454011879264 1304969544928656
73 373 12339 806515533049393 2111485077978049
74 379 12718 1304969544928657 3416454622906706
75 383 13101 2111485077978050 5527939700884756
76 389 13490 3416454622906707 8944394323791463
77 397 13887 5527939700884757 14472334024676220
78 401 14288 8944394323791464 23416728348467684
79 409 14697 14472334024676221 37889062373143905
80 419 15116 23416728348467685 61305790721611590
81 421 15537 37889062373143906 99194853094755496
82 431 15968 61305790721611591 160500643816367087
83 433 16401 99194853094755497 259695496911122584
84 439 16840 160500643816367088 420196140727489672
85 443 17283 259695496911122585 679891637638612257
86 449 17732 420196140727489673 1100087778366101930
87 457 18189 679891637638612258 1779979416004714188
88 461 18650 1100087778366101931 2880067194370816119
89 463 19113 1779979416004714189 4660046610375530308
90 467 19580 2880067194370816120 7540113804746346428
91 479 20059 4660046610375530309 12200160415121876737
92 487 20546 7540113804746346429 19740274219868223166
93 491 21037 12200160415121876738 31940434634990099904
94 499 21536 19740274219868223167 51680708854858323071
95 503 22039 31940434634990099905 83621143489848422976
96 509 22548 51680708854858323072 135301852344706746048
97 521 23069 83621143489848422977 218922995834555169025
98 523 23592 135301852344706746049 354224848179261915074
99 541 24133 218922995834555169026 573147844013817084100
